Period,10 Year Treasury Rate (Percent)
2016-05-06,1.7900
2016-05-05,1.7600
2016-05-04,1.7900
2016-05-03,1.8100
2016-05-02,1.8800
2016-04-29,1.8300
2016-04-28,1.8400
2016-04-27,1.8700
2016-04-26,1.9400
2016-04-25,1.9100
2016-04-22,1.8900
2016-04-21,1.8800
2016-04-20,1.8500
2016-04-19,1.7900
2016-04-18,1.7800
2016-04-15,1.7600
2016-04-14,1.8000
2016-04-13,1.7700
2016-04-12,1.7900
2016-04-11,1.7300
2016-04-08,1.7200
2016-04-07,1.7000
2016-04-06,1.7600
2016-04-05,1.7300
2016-04-04,1.7800
2016-04-01,1.7900
2016-03-31,1.7800
2016-03-30,1.8300
2016-03-29,1.8100
2016-03-28,1.8900
2016-03-24,1.9100
2016-03-23,1.8800
2016-03-22,1.9400
2016-03-21,1.9200
2016-03-18,1.8800
2016-03-17,1.9100
2016-03-16,1.9400
2016-03-15,1.9700
2016-03-14,1.9700
2016-03-11,1.9800
2016-03-10,1.9300
2016-03-09,1.9000
2016-03-08,1.8300
2016-03-07,1.9100
2016-03-04,1.8800
2016-03-03,1.8300
2016-03-02,1.8400
2016-03-01,1.8300
2016-02-29,1.7400
2016-02-26,1.7600
2016-02-25,1.7100
2016-02-24,1.7500
2016-02-23,1.7400
2016-02-22,1.7700
2016-02-19,1.7600
2016-02-18,1.7500
2016-02-17,1.8100
2016-02-16,1.7800
2016-02-12,1.7400
2016-02-11,1.6300
2016-02-10,1.7100
2016-02-09,1.7400
2016-02-08,1.7500
2016-02-05,1.8600
2016-02-04,1.8700
2016-02-03,1.8800
2016-02-02,1.8700
2016-02-01,1.9700
2016-01-29,1.9400
2016-01-28,2.0000
2016-01-27,2.0200
2016-01-26,2.0100
2016-01-25,2.0300
2016-01-22,2.0700
2016-01-21,2.0200
2016-01-20,2.0100
2016-01-19,2.0600
2016-01-15,2.0300
2016-01-14,2.1000
2016-01-13,2.0800
2016-01-12,2.1200
2016-01-11,2.1700
2016-01-08,2.1300
2016-01-07,2.1600
2016-01-06,2.1800
2016-01-05,2.2500
2016-01-04,2.2400
2015-12-31,2.2700
2015-12-30,2.3100
2015-12-29,2.3200
2015-12-28,2.2400
2015-12-24,2.2500
2015-12-23,2.2700
2015-12-22,2.2400
2015-12-21,2.2000
2015-12-18,2.1900
2015-12-17,2.2400
2015-12-16,2.3000
2015-12-15,2.2800
2015-12-14,2.2300
2015-12-11,2.1300
2015-12-10,2.2400
2015-12-09,2.2200
2015-12-08,2.2400
2015-12-07,2.2300
2015-12-04,2.2800
2015-12-03,2.3300
2015-12-02,2.1800
2015-12-01,2.1500
2015-11-30,2.2100
2015-11-27,2.2200
2015-11-25,2.2300
2015-11-24,2.2400
2015-11-23,2.2500
2015-11-20,2.2600
2015-11-19,2.2400
2015-11-18,2.2700
2015-11-17,2.2500
2015-11-16,2.2700
2015-11-13,2.2800
2015-11-12,2.3200
2015-11-10,2.3200
2015-11-09,2.3600
2015-11-06,2.3400
2015-11-05,2.2600
2015-11-04,2.2500
2015-11-03,2.2300
2015-11-02,2.2000
2015-10-30,2.1600
2015-10-29,2.1900
2015-10-28,2.1000
2015-10-27,2.0500
2015-10-26,2.0700
2015-10-23,2.0900
2015-10-22,2.0400
2015-10-21,2.0400
2015-10-20,2.0800
2015-10-19,2.0400
2015-10-16,2.0400
2015-10-15,2.0400
2015-10-14,1.9900
2015-10-13,2.0600
2015-10-09,2.1200
2015-10-08,2.1200
2015-10-07,2.0800
2015-10-06,2.0500
2015-10-05,2.0700
2015-10-02,1.9900
2015-10-01,2.0500
2015-09-30,2.0600
2015-09-29,2.0500
2015-09-28,2.1000
2015-09-25,2.1700
2015-09-24,2.1300
2015-09-23,2.1600
2015-09-22,2.1400
2015-09-21,2.2000
2015-09-18,2.1300
2015-09-17,2.2100
2015-09-16,2.3000
2015-09-15,2.2800
2015-09-14,2.1800
2015-09-11,2.2000
2015-09-10,2.2300
2015-09-09,2.2100
2015-09-08,2.2000
2015-09-04,2.1300
2015-09-03,2.1800
2015-09-02,2.2000
2015-09-01,2.1700
2015-08-31,2.2100
2015-08-28,2.1900
2015-08-27,2.1800
2015-08-26,2.1800
2015-08-25,2.1200
2015-08-24,2.0100
2015-08-21,2.0500
2015-08-20,2.0900
2015-08-19,2.1200
2015-08-18,2.2000
2015-08-17,2.1600
2015-08-14,2.2000
2015-08-13,2.1900
2015-08-12,2.1400
2015-08-11,2.1500
2015-08-10,2.2400
2015-08-07,2.1800
2015-08-06,2.2300
2015-08-05,2.2800
2015-08-04,2.2300
2015-08-03,2.1600
2015-07-31,2.2000
2015-07-30,2.2800
2015-07-29,2.2900
2015-07-28,2.2600
2015-07-27,2.2300
2015-07-24,2.2700
2015-07-23,2.2800
2015-07-22,2.3300
2015-07-21,2.3500
2015-07-20,2.3800
2015-07-17,2.3400
2015-07-16,2.3600
2015-07-15,2.3600
2015-07-14,2.4100
2015-07-13,2.4400
2015-07-10,2.4200
2015-07-09,2.3200
2015-07-08,2.2200
2015-07-07,2.2700
2015-07-06,2.3000
2015-07-02,2.4000
2015-07-01,2.4300
2015-06-30,2.3500
2015-06-29,2.3300
2015-06-26,2.4900
2015-06-25,2.4000
2015-06-24,2.3800
2015-06-23,2.4200
2015-06-22,2.3700
2015-06-19,2.2600
2015-06-18,2.3500
2015-06-17,2.3200
2015-06-16,2.3200
2015-06-15,2.3600
2015-06-12,2.3900
2015-06-11,2.3900
2015-06-10,2.5000
2015-06-09,2.4200
2015-06-08,2.3900
2015-06-05,2.4100
2015-06-04,2.3100
2015-06-03,2.3800
2015-06-02,2.2700
2015-06-01,2.1900
2015-05-29,2.1200
2015-05-28,2.1300
2015-05-27,2.1400
2015-05-26,2.1400
2015-05-22,2.2100
2015-05-21,2.1900
2015-05-20,2.2600
2015-05-19,2.2700
2015-05-18,2.2300
2015-05-15,2.1400
2015-05-14,2.2300
2015-05-13,2.2700
2015-05-12,2.2800
2015-05-11,2.2800
2015-05-08,2.1600
2015-05-07,2.1800
2015-05-06,2.2500
2015-05-05,2.1900
2015-05-04,2.1600
2015-05-01,2.1200
2015-04-30,2.0500
2015-04-29,2.0600
2015-04-28,2.0000
2015-04-27,1.9400
2015-04-24,1.9300
2015-04-23,1.9600
2015-04-22,1.9900
2015-04-21,1.9200
2015-04-20,1.9000
2015-04-17,1.8700
2015-04-16,1.9000
2015-04-15,1.9100
2015-04-14,1.9000
2015-04-13,1.9400
2015-04-10,1.9600
2015-04-09,1.9700
2015-04-08,1.9200
2015-04-07,1.8900
2015-04-06,1.9200
2015-04-03,1.8500
2015-04-02,1.9200
2015-04-01,1.8700
2015-03-31,1.9400
2015-03-30,1.9600
2015-03-27,1.9500
2015-03-26,2.0100
2015-03-25,1.9300
2015-03-24,1.8800
2015-03-23,1.9200
2015-03-20,1.9300
2015-03-19,1.9800
2015-03-18,1.9300
2015-03-17,2.0600
2015-03-16,2.1000
2015-03-13,2.1300
2015-03-12,2.1000
2015-03-11,2.1100
2015-03-10,2.1400
2015-03-09,2.2000
2015-03-06,2.2400
2015-03-05,2.1100
2015-03-04,2.1200
2015-03-03,2.1200
2015-03-02,2.0800
2015-02-27,2.0000
2015-02-26,2.0300
2015-02-25,1.9600
2015-02-24,1.9900
2015-02-23,2.0600
2015-02-20,2.1300
2015-02-19,2.1100
2015-02-18,2.0700
2015-02-17,2.1400
2015-02-13,2.0200
2015-02-12,1.9900
2015-02-11,2.0000
2015-02-10,2.0100
2015-02-09,1.9600
2015-02-06,1.9500
2015-02-05,1.8300
2015-02-04,1.8100
2015-02-03,1.7900
2015-02-02,1.6800
2015-01-30,1.6800
2015-01-29,1.7700
2015-01-28,1.7300
2015-01-27,1.8300
2015-01-26,1.8300
2015-01-23,1.8100
2015-01-22,1.9000
2015-01-21,1.8700
2015-01-20,1.8200
2015-01-16,1.8300
2015-01-15,1.7700
2015-01-14,1.8600
2015-01-13,1.9100
2015-01-12,1.9200
2015-01-09,1.9800
2015-01-08,2.0300
2015-01-07,1.9600
2015-01-06,1.9700
2015-01-05,2.0400
2015-01-02,2.1200
2014-12-31,2.1700
2014-12-30,2.2000
2014-12-29,2.2200
2014-12-26,2.2500
2014-12-24,2.2700
2014-12-23,2.2600
2014-12-22,2.1700
2014-12-19,2.1700
2014-12-18,2.2200
2014-12-17,2.1400
2014-12-16,2.0700
2014-12-15,2.1200
2014-12-12,2.1000
2014-12-11,2.1900
2014-12-10,2.1800
2014-12-09,2.2200
2014-12-08,2.2600
2014-12-05,2.3100
2014-12-04,2.2500
2014-12-03,2.2900
2014-12-02,2.2800
2014-12-01,2.2200
2014-11-28,2.1800
2014-11-26,2.2400
2014-11-25,2.2700
2014-11-24,2.3000
2014-11-21,2.3100
2014-11-20,2.3400
2014-11-19,2.3600
2014-11-18,2.3200
2014-11-17,2.3400
2014-11-14,2.3200
2014-11-13,2.3500
2014-11-12,2.3700
2014-11-10,2.3800
2014-11-07,2.3200
2014-11-06,2.3900
2014-11-05,2.3600
2014-11-04,2.3500
2014-11-03,2.3600
2014-10-31,2.3500
2014-10-30,2.3200
2014-10-29,2.3400
2014-10-28,2.3000
2014-10-27,2.2700
2014-10-24,2.2900
2014-10-23,2.2900
2014-10-22,2.2500
2014-10-21,2.2300
2014-10-20,2.2000
2014-10-17,2.2200
2014-10-16,2.1700
2014-10-15,2.1500
2014-10-14,2.2100
2014-10-10,2.3100
2014-10-09,2.3400
2014-10-08,2.3500
2014-10-07,2.3600
2014-10-06,2.4300
2014-10-03,2.4500
2014-10-02,2.4400
2014-10-01,2.4200
2014-09-30,2.5200
2014-09-29,2.5000
2014-09-26,2.5400
2014-09-25,2.5200
2014-09-24,2.5700
2014-09-23,2.5400
2014-09-22,2.5700
2014-09-19,2.5900
2014-09-18,2.6300
2014-09-17,2.6200
2014-09-16,2.6000
2014-09-15,2.6000
2014-09-12,2.6200
2014-09-11,2.5400
2014-09-10,2.5400
2014-09-09,2.5000
2014-09-08,2.4800
2014-09-05,2.4600
2014-09-04,2.4500
2014-09-03,2.4100
2014-09-02,2.4200
2014-08-29,2.3500
2014-08-28,2.3400
2014-08-27,2.3700
2014-08-26,2.3900
2014-08-25,2.3900
2014-08-22,2.4000
2014-08-21,2.4100
2014-08-20,2.4300
2014-08-19,2.4000
2014-08-18,2.3900
2014-08-15,2.3400
2014-08-14,2.4000
2014-08-13,2.4300
2014-08-12,2.4600
2014-08-11,2.4400
2014-08-08,2.4400
2014-08-07,2.4300
2014-08-06,2.4900
2014-08-05,2.4900
2014-08-04,2.5100
2014-08-01,2.5200
2014-07-31,2.5800
2014-07-30,2.5700
2014-07-29,2.4700
2014-07-28,2.5000
2014-07-25,2.4800
2014-07-24,2.5200
2014-07-23,2.4800
2014-07-22,2.4800
2014-07-21,2.4900
2014-07-18,2.5000
2014-07-17,2.4700
2014-07-16,2.5500
2014-07-15,2.5600
2014-07-14,2.5500
2014-07-11,2.5300
2014-07-10,2.5500
2014-07-09,2.5700
2014-07-08,2.5800
2014-07-07,2.6300
2014-07-03,2.6500
2014-07-02,2.6400
2014-07-01,2.5800
2014-06-30,2.5300
2014-06-27,2.5400
2014-06-26,2.5300
2014-06-25,2.5700
2014-06-24,2.5900
2014-06-23,2.6300
2014-06-20,2.6300
2014-06-19,2.6400
2014-06-18,2.6100
2014-06-17,2.6600
2014-06-16,2.6100
2014-06-13,2.6000
2014-06-12,2.5800
2014-06-11,2.6500
2014-06-10,2.6400
2014-06-09,2.6200
2014-06-06,2.6000
2014-06-05,2.5900
2014-06-04,2.6100
2014-06-03,2.6000
2014-06-02,2.5400
2014-05-30,2.4800
2014-05-29,2.4500
2014-05-28,2.4400
2014-05-27,2.5200
2014-05-23,2.5400
2014-05-22,2.5600
2014-05-21,2.5400
2014-05-20,2.5200
2014-05-19,2.5400
2014-05-16,2.5200
2014-05-15,2.5000
2014-05-14,2.5400
2014-05-13,2.6100
2014-05-12,2.6600
2014-05-09,2.6200
2014-05-08,2.6100
2014-05-07,2.6200
2014-05-06,2.6100
2014-05-05,2.6300
2014-05-02,2.6000
2014-05-01,2.6300
2014-04-30,2.6700
2014-04-29,2.7100
2014-04-28,2.7000
2014-04-25,2.6800
2014-04-24,2.7000
2014-04-23,2.7000
2014-04-22,2.7300
2014-04-21,2.7300
2014-04-17,2.7300
2014-04-16,2.6500
2014-04-15,2.6400
2014-04-14,2.6500
2014-04-11,2.6300
2014-04-10,2.6500
2014-04-09,2.7100
2014-04-08,2.6900
2014-04-07,2.7100
2014-04-04,2.7400
2014-04-03,2.8000
2014-04-02,2.8200
2014-04-01,2.7700
2014-03-31,2.7300
2014-03-28,2.7300
2014-03-27,2.6900
2014-03-26,2.7100
2014-03-25,2.7500
2014-03-24,2.7400
2014-03-21,2.7500
2014-03-20,2.7900
2014-03-19,2.7800
2014-03-18,2.6800
2014-03-17,2.7000
2014-03-14,2.6500
2014-03-13,2.6600
2014-03-12,2.7300
2014-03-11,2.7700
2014-03-10,2.7900
2014-03-07,2.8000
2014-03-06,2.7400
2014-03-05,2.7000
2014-03-04,2.7000
2014-03-03,2.6000
2014-02-28,2.6600
2014-02-27,2.6500
2014-02-26,2.6700
2014-02-25,2.7000
2014-02-24,2.7500
2014-02-21,2.7300
2014-02-20,2.7600
2014-02-19,2.7300
2014-02-18,2.7100
2014-02-14,2.7500
2014-02-13,2.7300
2014-02-12,2.8000
2014-02-11,2.7500
2014-02-10,2.7000
2014-02-07,2.7100
2014-02-06,2.7300
2014-02-05,2.7000
2014-02-04,2.6400
2014-02-03,2.6100
2014-01-31,2.6700
2014-01-30,2.7200
2014-01-29,2.6900
2014-01-28,2.7700
2014-01-27,2.7800
2014-01-24,2.7500
2014-01-23,2.7900
2014-01-22,2.8700
2014-01-21,2.8500
2014-01-17,2.8400
2014-01-16,2.8600
2014-01-15,2.9000
2014-01-14,2.8800
2014-01-13,2.8400
2014-01-10,2.8800
2014-01-09,2.9700
2014-01-08,3.0100
2014-01-07,2.9600
2014-01-06,2.9800
2014-01-03,3.0100
2014-01-02,3.0000
2013-12-31,3.0400
2013-12-30,2.9900
2013-12-27,3.0200
2013-12-26,3.0000
2013-12-24,2.9900
2013-12-23,2.9400
2013-12-20,2.8900
2013-12-19,2.9400
2013-12-18,2.8900
2013-12-17,2.8500
2013-12-16,2.8900
2013-12-13,2.8800
2013-12-12,2.8900
2013-12-11,2.8600
2013-12-10,2.8100
2013-12-09,2.8600
2013-12-06,2.8800
2013-12-05,2.8800
2013-12-04,2.8400
2013-12-03,2.7900
2013-12-02,2.8100
2013-11-29,2.7500
2013-11-27,2.7400
2013-11-26,2.7100
2013-11-25,2.7400
2013-11-22,2.7500
2013-11-21,2.7900
2013-11-20,2.8000
2013-11-19,2.7100
2013-11-18,2.6700
2013-11-15,2.7100
2013-11-14,2.6900
2013-11-13,2.7500
2013-11-12,2.8000
2013-11-08,2.7700
2013-11-07,2.6300
2013-11-06,2.6700
2013-11-05,2.6900
2013-11-04,2.6300
2013-11-01,2.6500
2013-10-31,2.5700
2013-10-30,2.5500
2013-10-29,2.5300
2013-10-28,2.5400
2013-10-25,2.5300
2013-10-24,2.5300
2013-10-23,2.5100
2013-10-22,2.5400
2013-10-21,2.6300
2013-10-18,2.6000
2013-10-17,2.6100
2013-10-16,2.6900
2013-10-15,2.7500
2013-10-11,2.7000
2013-10-10,2.7100
2013-10-09,2.6800
2013-10-08,2.6600
2013-10-07,2.6500
2013-10-04,2.6600
2013-10-03,2.6200
2013-10-02,2.6300
2013-10-01,2.6600
2013-09-30,2.6400
2013-09-27,2.6400
2013-09-26,2.6600
2013-09-25,2.6300
2013-09-24,2.6700
2013-09-23,2.7200
2013-09-20,2.7500
2013-09-19,2.7600
2013-09-18,2.6900
2013-09-17,2.8600
2013-09-16,2.8800
2013-09-13,2.9000
2013-09-12,2.9200
2013-09-11,2.9300
2013-09-10,2.9600
2013-09-09,2.9000
2013-09-06,2.9400
2013-09-05,2.9800
2013-09-04,2.9000
2013-09-03,2.8600
2013-08-30,2.7800
2013-08-29,2.7500
2013-08-28,2.7800
2013-08-27,2.7200
2013-08-26,2.7900
2013-08-23,2.8200
2013-08-22,2.9000
2013-08-21,2.8700
2013-08-20,2.8200
2013-08-19,2.8800
2013-08-16,2.8400
2013-08-15,2.7700
2013-08-14,2.7100
2013-08-13,2.7100
2013-08-12,2.6100
2013-08-09,2.5700
2013-08-08,2.5800
2013-08-07,2.6100
2013-08-06,2.6700
2013-08-05,2.6700
2013-08-02,2.6300
2013-08-01,2.7400
2013-07-31,2.6000
2013-07-30,2.6300
2013-07-29,2.6100
2013-07-26,2.5800
2013-07-25,2.6100
2013-07-24,2.6100
2013-07-23,2.5300
2013-07-22,2.5000
2013-07-19,2.5000
2013-07-18,2.5600
2013-07-17,2.5200
2013-07-16,2.5500
2013-07-15,2.5700
2013-07-12,2.6100
2013-07-11,2.6000
2013-07-10,2.7000
2013-07-09,2.6500
2013-07-08,2.6500
2013-07-05,2.7300
2013-07-03,2.5200
2013-07-02,2.4800
2013-07-01,2.5000
2013-06-28,2.5200
2013-06-27,2.4900
2013-06-26,2.5500
2013-06-25,2.6000
2013-06-24,2.5700
2013-06-21,2.5200
2013-06-20,2.4100
2013-06-19,2.3300
2013-06-18,2.2000
2013-06-17,2.1900
2013-06-14,2.1400
2013-06-13,2.1900
2013-06-12,2.2500
2013-06-11,2.2000
2013-06-10,2.2200
2013-06-07,2.1700
2013-06-06,2.0800
2013-06-05,2.1000
2013-06-04,2.1400
2013-06-03,2.1300
2013-05-31,2.1600
2013-05-30,2.1300
2013-05-29,2.1300
2013-05-28,2.1500
2013-05-24,2.0100
2013-05-23,2.0200
2013-05-22,2.0300
2013-05-21,1.9400
2013-05-20,1.9700
2013-05-17,1.9500
2013-05-16,1.8700
2013-05-15,1.9400
2013-05-14,1.9600
2013-05-13,1.9200
2013-05-10,1.9000
2013-05-09,1.8100
2013-05-08,1.8100
2013-05-07,1.8200
2013-05-06,1.8000
2013-05-03,1.7800
2013-05-02,1.6600
2013-05-01,1.6600
2013-04-30,1.7000
2013-04-29,1.7000
2013-04-26,1.7000
2013-04-25,1.7400
2013-04-24,1.7300
2013-04-23,1.7400
2013-04-22,1.7200
2013-04-19,1.7300
2013-04-18,1.7200
2013-04-17,1.7300
2013-04-16,1.7500
2013-04-15,1.7200
2013-04-12,1.7500
2013-04-11,1.8200
2013-04-10,1.8400
2013-04-09,1.7800
2013-04-08,1.7600
2013-04-05,1.7200
2013-04-04,1.7800
2013-04-03,1.8300
2013-04-02,1.8800
2013-04-01,1.8600
2013-03-28,1.8700
2013-03-27,1.8700
2013-03-26,1.9200
2013-03-25,1.9300
2013-03-22,1.9300
2013-03-21,1.9500
2013-03-20,1.9600
2013-03-19,1.9200
2013-03-18,1.9600
2013-03-15,2.0100
2013-03-14,2.0400
2013-03-13,2.0400
2013-03-12,2.0300
2013-03-11,2.0700
2013-03-08,2.0600
2013-03-07,2.0000
2013-03-06,1.9500
2013-03-05,1.9000
2013-03-04,1.8800
2013-03-01,1.8600
2013-02-28,1.8900
2013-02-27,1.9100
2013-02-26,1.8800
2013-02-25,1.8800
2013-02-22,1.9700
2013-02-21,1.9900
2013-02-20,2.0200
2013-02-19,2.0300
2013-02-15,2.0100
2013-02-14,2.0000
2013-02-13,2.0500
2013-02-12,2.0200
2013-02-11,1.9900
2013-02-08,1.9900
2013-02-07,1.9900
2013-02-06,2.0000
2013-02-05,2.0400
2013-02-04,2.0000
2013-02-01,2.0400
2013-01-31,2.0200
2013-01-30,2.0300
2013-01-29,2.0300
2013-01-28,2.0000
2013-01-25,1.9800
2013-01-24,1.8800
2013-01-23,1.8600
2013-01-22,1.8600
2013-01-18,1.8700
2013-01-17,1.8900
2013-01-16,1.8400
2013-01-15,1.8600
2013-01-14,1.8900
2013-01-11,1.8900
2013-01-10,1.9100
2013-01-09,1.8800
2013-01-08,1.8900
2013-01-07,1.9200
2013-01-04,1.9300
2013-01-03,1.9200
2013-01-02,1.8600
2012-12-31,1.7800
2012-12-28,1.7300
2012-12-27,1.7400
2012-12-26,1.7700
2012-12-24,1.7900
2012-12-21,1.7700
2012-12-20,1.8100
2012-12-19,1.8200
2012-12-18,1.8400
2012-12-17,1.7800
2012-12-14,1.7200
2012-12-13,1.7400
2012-12-12,1.7200
2012-12-11,1.6600
2012-12-10,1.6300
2012-12-07,1.6400
2012-12-06,1.5900
2012-12-05,1.6000
2012-12-04,1.6200
2012-12-03,1.6300
2012-11-30,1.6200
2012-11-29,1.6200
2012-11-28,1.6300
2012-11-27,1.6400
2012-11-26,1.6600
2012-11-23,1.7000
2012-11-21,1.6900
2012-11-20,1.6600
2012-11-19,1.6100
2012-11-16,1.5800
2012-11-15,1.5800
2012-11-14,1.5900
2012-11-13,1.5900
2012-11-09,1.6100
2012-11-08,1.6200
2012-11-07,1.6800
2012-11-06,1.7800
2012-11-05,1.7200
2012-11-02,1.7500
2012-11-01,1.7500
2012-10-31,1.7200
2012-10-29,1.7400
2012-10-26,1.7800
2012-10-25,1.8600
2012-10-24,1.8000
2012-10-23,1.7900
2012-10-22,1.8300
2012-10-19,1.7900
2012-10-18,1.8600
2012-10-17,1.8300
2012-10-16,1.7500
2012-10-15,1.7000
2012-10-12,1.6900
2012-10-11,1.7000
2012-10-10,1.7200
2012-10-09,1.7400
2012-10-05,1.7500
2012-10-04,1.7000
2012-10-03,1.6400
2012-10-02,1.6400
2012-10-01,1.6400
2012-09-28,1.6500
2012-09-27,1.6600
2012-09-26,1.6400
2012-09-25,1.7000
2012-09-24,1.7400
2012-09-21,1.7700
2012-09-20,1.8000
2012-09-19,1.7900
2012-09-18,1.8200
2012-09-17,1.8500
2012-09-14,1.8800
2012-09-13,1.7500
2012-09-12,1.7700
2012-09-11,1.7000
2012-09-10,1.6800
2012-09-07,1.6700
2012-09-06,1.6800
2012-09-05,1.6000
2012-09-04,1.5900
2012-08-31,1.5700
2012-08-30,1.6300
2012-08-29,1.6600
2012-08-28,1.6400
2012-08-27,1.6500
2012-08-24,1.6800
2012-08-23,1.6800
2012-08-22,1.7100
2012-08-21,1.8000
2012-08-20,1.8200
2012-08-17,1.8100
2012-08-16,1.8300
2012-08-15,1.8000
2012-08-14,1.7300
2012-08-13,1.6500
2012-08-10,1.6500
2012-08-09,1.6900
2012-08-08,1.6800
2012-08-07,1.6600
2012-08-06,1.5900
2012-08-03,1.6000
2012-08-02,1.5100
2012-08-01,1.5600
2012-07-31,1.5100
2012-07-30,1.5300
2012-07-27,1.5800
2012-07-26,1.4500
2012-07-25,1.4300
2012-07-24,1.4400
2012-07-23,1.4700
2012-07-20,1.4900
2012-07-19,1.5400
2012-07-18,1.5200
2012-07-17,1.5300
2012-07-16,1.5000
2012-07-13,1.5200
2012-07-12,1.5000
2012-07-11,1.5400
2012-07-10,1.5300
2012-07-09,1.5300
2012-07-06,1.5700
2012-07-05,1.6200
2012-07-03,1.6500
2012-07-02,1.6100
2012-06-29,1.6700
2012-06-28,1.6000
2012-06-27,1.6500
2012-06-26,1.6600
2012-06-25,1.6300
2012-06-22,1.6900
2012-06-21,1.6300
2012-06-20,1.6500
2012-06-19,1.6400
2012-06-18,1.5900
2012-06-15,1.6000
2012-06-14,1.6400
2012-06-13,1.6100
2012-06-12,1.6700
2012-06-11,1.6000
2012-06-08,1.6500
2012-06-07,1.6600
2012-06-06,1.6600
2012-06-05,1.5700
2012-06-04,1.5300
2012-06-01,1.4700
2012-05-31,1.5900
2012-05-30,1.6300
2012-05-29,1.7400
2012-05-25,1.7500
2012-05-24,1.7700
2012-05-23,1.7300
2012-05-22,1.7900
2012-05-21,1.7500
2012-05-18,1.7100
2012-05-17,1.7000
2012-05-16,1.7600
2012-05-15,1.7600
2012-05-14,1.7800
2012-05-11,1.8400
2012-05-10,1.8900
2012-05-09,1.8700
2012-05-08,1.8800
2012-05-07,1.9200
2012-05-04,1.9100
2012-05-03,1.9600
2012-05-02,1.9600
2012-05-01,1.9800
2012-04-30,1.9500
2012-04-27,1.9600
2012-04-26,1.9800
2012-04-25,2.0100
2012-04-24,2.0000
2012-04-23,1.9600
2012-04-20,1.9900
2012-04-19,1.9800
2012-04-18,2.0000
2012-04-17,2.0300
2012-04-16,2.0000
2012-04-13,2.0200
2012-04-12,2.0800
2012-04-11,2.0500
2012-04-10,2.0100
2012-04-09,2.0600
2012-04-06,2.0700
2012-04-05,2.1900
2012-04-04,2.2500
2012-04-03,2.3000
2012-04-02,2.2200
2012-03-30,2.2300
2012-03-29,2.1800
2012-03-28,2.2100
2012-03-27,2.2000
2012-03-26,2.2600
2012-03-23,2.2500
2012-03-22,2.2900
2012-03-21,2.3100
2012-03-20,2.3800
2012-03-19,2.3900
2012-03-16,2.3100
2012-03-15,2.2900
2012-03-14,2.2900
2012-03-13,2.1400
2012-03-12,2.0400
2012-03-09,2.0400
2012-03-08,2.0300
2012-03-07,1.9800
2012-03-06,1.9600
2012-03-05,2.0000
2012-03-02,1.9900
2012-03-01,2.0300
2012-02-29,1.9800
2012-02-28,1.9400
2012-02-27,1.9200
2012-02-24,1.9800
2012-02-23,1.9900
2012-02-22,2.0100
2012-02-21,2.0500
2012-02-17,2.0100
2012-02-16,1.9900
2012-02-15,1.9300
2012-02-14,1.9200
2012-02-13,1.9900
2012-02-10,1.9600
2012-02-09,2.0400
2012-02-08,2.0100
2012-02-07,2.0000
2012-02-06,1.9300
2012-02-03,1.9700
2012-02-02,1.8600
2012-02-01,1.8700
2012-01-31,1.8300
2012-01-30,1.8700
2012-01-27,1.9300
2012-01-26,1.9600
2012-01-25,2.0100
2012-01-24,2.0800
2012-01-23,2.0900
2012-01-20,2.0500
2012-01-19,2.0100
2012-01-18,1.9200
2012-01-17,1.8700
2012-01-13,1.8900
2012-01-12,1.9400
2012-01-11,1.9300
2012-01-10,2.0000
2012-01-09,1.9800
2012-01-06,1.9800
2012-01-05,2.0200
2012-01-04,2.0000
2012-01-03,1.9700
2011-12-30,1.8900
2011-12-29,1.9100
2011-12-28,1.9300
2011-12-27,2.0200
2011-12-23,2.0300
2011-12-22,1.9700
2011-12-21,1.9800
2011-12-20,1.9400
2011-12-19,1.8200
2011-12-16,1.8600
2011-12-15,1.9200
2011-12-14,1.9200
2011-12-13,1.9600
2011-12-12,2.0300
2011-12-09,2.0700
2011-12-08,1.9900
2011-12-07,2.0200
2011-12-06,2.0800
2011-12-05,2.0400
2011-12-02,2.0500
2011-12-01,2.1100
2011-11-30,2.0800
2011-11-29,2.0000
2011-11-28,1.9700
2011-11-25,1.9700
2011-11-23,1.8900
2011-11-22,1.9400
2011-11-21,1.9700
2011-11-18,2.0100
2011-11-17,1.9600
2011-11-16,2.0100
2011-11-15,2.0600
2011-11-14,2.0400
2011-11-10,2.0400
2011-11-09,2.0000
2011-11-08,2.1000
2011-11-07,2.0400
2011-11-04,2.0600
2011-11-03,2.0900
2011-11-02,2.0300
2011-11-01,2.0100
2011-10-31,2.1700
2011-10-28,2.3400
2011-10-27,2.4200
2011-10-26,2.2300
2011-10-25,2.1400
2011-10-24,2.2500
2011-10-21,2.2300
2011-10-20,2.2000
2011-10-19,2.1800
2011-10-18,2.1900
2011-10-17,2.1800
2011-10-14,2.2600
2011-10-13,2.1900
2011-10-12,2.2400
2011-10-11,2.1800
2011-10-07,2.1000
2011-10-06,2.0100
2011-10-05,1.9200
2011-10-04,1.8100
2011-10-03,1.8000
2011-09-30,1.9200
2011-09-29,1.9900
2011-09-28,2.0300
2011-09-27,2.0000
2011-09-26,1.9100
2011-09-23,1.8400
2011-09-22,1.7200
2011-09-21,1.8800
2011-09-20,1.9500
2011-09-19,1.9700
2011-09-16,2.0800
2011-09-15,2.0900
2011-09-14,2.0300
2011-09-13,2.0000
2011-09-12,1.9400
2011-09-09,1.9300
